ma_nhan_vien,ho_ten,ho_ten_chuan,don_vi,chuc_vu,email
NV000001,Võ Quốc Phong,vo quoc phong,Phòng Công nghệ - Cục Tổ chức cán bộ (CA),Chuyên viên chính,nv000001@donvi.gov.vn
NV000002,Hoàng Hữu Việt,hoang huu viet,Phòng Kỹ thuật - Cục Tham mưu (BQP),Trưởng phòng,nv000002@donvi.gov.vn
NV000003,Nguyễn Thành Khang,nguyen thanh khang,Phòng Pháp chế - Cục Chính trị (BQP),Nhân viên,nv000003@donvi.gov.vn
NV000004,Huỳnh Thu Xuân,huynh thu xuan,Phòng Tác chiến - Cục Kế hoạch - Tài chính (BQP),Phó trưởng phòng,nv000004@donvi.gov.vn
NV000005,Vũ Diệu Vy,vu dieu vy,Phòng Nhân sự - Cục Tác chiến (BQP),Phó trưởng phòng,nv000005@donvi.gov.vn
NV000006,Vũ Ngọc Thủy,vu ngoc thuy,Phòng Đào tạo - Cục Chính trị (BQP),Chuyên viên,nv000006@donvi.gov.vn
NV000007,Lê Thành Hùng,le thanh hung,Phòng Công nghệ - Cục Tác chiến (BQP),Chuyên viên chính,nv000007@donvi.gov.vn
NV000008,Dương Công Việt,duong cong viet,Phòng Tác chiến - Cục Quân huấn (CA),Chuyên viên chính,nv000008@donvi.gov.vn
NV000009,Ngô Hồng Anh,ngo hong anh,Phòng Pháp chế - Cục Tham mưu (CA),Chuyên viên chính,nv000009@donvi.gov.vn
NV000010,Phạm Quốc Bình,pham quoc binh,Phòng Thanh tra - Cục Chính trị (BQP),Thành viên,nv000010@donvi.gov.vn
NV000011,Phan Đức Bình,phan duc binh,Phòng Nhân sự - Cục Chính trị (BQP),Trưởng phòng,nv000011@donvi.gov.vn
NV000012,Bùi Quốc Tâm,bui quoc tam,Phòng Công nghệ - Cục Chính trị (BQP),Chuyên viên,nv000012@donvi.gov.vn
NV000013,Nguyễn Diệu Hà,nguyen dieu ha,Phòng Nhân sự - Cục Chính trị (BQP),Trưởng nhóm,nv000013@donvi.gov.vn
NV000014,Bùi Đức Việt,bui duc viet,Phòng Truyền thông - Cục Tham mưu (CA),Thành viên,nv000014@donvi.gov.vn
NV000015,Lý Văn Quang,ly van quang,Phòng Đào tạo - Cục Kỹ thuật (BQP),Chuyên viên chính,nv000015@donvi.gov.vn
NV000016,Lê Công Bình,le cong binh,Phòng Công nghệ - Cục Chính trị (CA),Thành viên,nv000016@donvi.gov.vn
NV000017,Đặng Diệu Hà,dang dieu ha,Phòng Hành chính - Cục Tham mưu (BQP),Chuyên viên,nv000017@donvi.gov.vn
NV000018,Nguyễn Quốc Nam,nguyen quoc nam,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Trưởng nhóm,nv000018@donvi.gov.vn
NV000019,Võ Thu Mai,vo thu mai,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Chuyên viên chính,nv000019@donvi.gov.vn
NV000020,Lý Kim Trang,ly kim trang,Phòng Đào tạo - Cục Kỹ thuật (BQP),Phó trưởng phòng,nv000020@donvi.gov.vn
NV000021,Lê Hữu Hùng,le huu hung,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Trưởng nhóm,nv000021@donvi.gov.vn
NV000022,Đặng Thành Quang,dang thanh quang,Phòng Thanh tra - Cục Quân huấn (CA),Thành viên,nv000022@donvi.gov.vn
NV000023,Huỳnh Thu Thủy,huynh thu thuy,Phòng Đào tạo - Cục Chính trị (BQP),Chuyên viên,nv000023@donvi.gov.vn
NV000024,Nguyễn Minh Sơn,nguyen minh son,Phòng Truyền thông - Cục Tham mưu (CA),Phó trưởng phòng,nv000024@donvi.gov.vn
NV000025,Dương Hồng Vy,duong hong vy,Phòng Truyền thông - Cục Kỹ thuật (BQP),Trưởng nhóm,nv000025@donvi.gov.vn
NV000026,Võ Đức Quang,vo duc quang,Phòng Thanh tra - Cục Kế hoạch - Tài chính (BQP),Trưởng phòng,nv000026@donvi.gov.vn
NV000027,Lê Minh Quang,le minh quang,Phòng Nhân sự - Cục Kế hoạch - Tài chính (BQP),Phó trưởng phòng,nv000027@donvi.gov.vn
NV000028,Nguyễn Minh Bình,nguyen minh binh,Phòng Tác chiến - Cục Kế hoạch - Tài chính (BQP),Nhân viên,nv000028@donvi.gov.vn
NV000029,Huỳnh Thu Vy,huynh thu vy,Phòng Đào tạo - Cục Quân huấn (CA),Chuyên viên chính,nv000029@donvi.gov.vn
NV000030,Vũ Bích Dung,vu bich dung,Phòng Kỹ thuật - Cục Kế hoạch - Tài chính (BQP),Phó trưởng phòng,nv000030@donvi.gov.vn
NV000031,Đỗ Hồng Phương,do hong phuong,Phòng Tác chiến - Cục Chính trị (CA),Thành viên,nv000031@donvi.gov.vn
NV000032,Đỗ Công Hùng,do cong hung,Phòng Đào tạo - Cục Tham mưu (BQP),Thành viên,nv000032@donvi.gov.vn
NV000033,Bùi Quốc Tuấn,bui quoc tuan,Phòng Đào tạo - Cục Quân huấn (CA),Trưởng nhóm,nv000033@donvi.gov.vn
NV000034,Bùi Bích Hà,bui bich ha,Phòng Nhân sự - Cục Tác chiến (BQP),Phó trưởng phòng,nv000034@donvi.gov.vn
